Name,Team,Pos,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,WAR,ADP,FanGraphs ID,Proj,Mgr,Rd
Vladimir Guerrero Jr.,TOR,1B/DH,154,665,577,176,31,2,45,114,119,79,101,5,3,1,0.305,0.391,0.598,0.989,0.413,5.9,4.8,19611,122.4,Jeff,1
Jose Ramirez,CLE,3B,154,665,573,155,37,4,36,103,109,79,95,7,25,6,0.271,0.363,0.536,0.899,0.376,6.2,3.1,13510,113.0,Myron,1
Rafael Devers,BOS,3B,154,665,597,168,39,2,37,103,112,57,138,6,6,4,0.282,0.348,0.541,0.889,0.373,4.7,13.8,17350,111.9,Scott,1
Mike Trout,LAA,OF,151,651,519,142,27,3,40,107,108,115,152,12,10,2,0.273,0.412,0.566,0.979,0.407,7.1,13,10155,111.5,Justin,1
Yordan Alvarez,HOU,OF/DH,144,623,550,157,34,1,39,96,118,62,148,6,2,1,0.285,0.362,0.565,0.927,0.388,4.5,25.6,19556,110.6,Justin,2
Bo Bichette,TOR,SS,152,658,604,174,35,2,29,103,98,44,123,5,21,5,0.289,0.340,0.500,0.840,0.357,4.9,4.6,19612,108.6,Ron,1
Shohei Ohtani,LAA,DH,147,637,541,140,26,6,40,101,104,86,181,4,23,9,0.260,0.363,0.550,0.914,0.378,3.9,8.7,19755,108.0,Evans,1
Kyle Tucker,HOU,OF,147,637,569,161,36,4,33,95,106,58,114,4,19,4,0.283,0.351,0.533,0.884,0.372,5.1,12.3,18345,107.4,Rich,2
Aaron Judge,NYY,OF/DH,151,651,559,153,25,0,41,99,107,81,171,5,5,2,0.275,0.369,0.539,0.908,0.384,6.0,36.2,15640,106.3,Evans,2
Teoscar Hernandez,TOR,OF,151,651,594,156,30,2,35,90,107,47,174,6,10,4,0.262,0.320,0.496,0.817,0.346,2.2,27.4,13066,101.7,John,1
George Springer,TOR,OF/DH,147,637,555,146,27,2,34,102,91,68,135,8,7,3,0.262,0.349,0.506,0.855,0.363,4.2,57.2,12856,99.0,Andrew,3
Franmil Reyes,CLE,DH,147,637,569,146,24,2,41,84,110,59,193,3,4,1,0.257,0.327,0.519,0.846,0.356,2.5,121.4,14566,98.5,Andrew,6
Jose Abreu,CHW,1B/DH,154,665,593,155,32,2,31,85,109,50,149,15,1,0,0.262,0.331,0.478,0.809,0.344,2.3,79,15676,98.4,Ron,3
Joey Gallo,NYY,OF,147,637,520,108,18,1,43,96,105,106,229,7,6,2,0.207,0.348,0.496,0.844,0.358,4.2,179.9,14128,98.0,Paula,8
Xander Bogaerts,BOS,SS,154,665,587,165,39,1,26,91,95,68,122,4,7,2,0.282,0.358,0.488,0.846,0.361,4.6,45.9,12161,97.5,Scott,2
Luis Robert,CHW,OF,149,644,588,165,32,4,30,90,91,40,153,10,17,6,0.281,0.334,0.502,0.836,0.354,4.8,16,20043,96.9,Evans,3
Jared Walsh,LAA,1B,144,623,557,146,31,2,34,83,105,54,162,6,2,1,0.262,0.331,0.506,0.837,0.352,2.8,119.2,18607,95.5,Rich,3
J.D. Martinez,BOS,OF/DH,152,658,585,158,35,2,30,88,98,62,153,5,1,0,0.271,0.343,0.490,0.832,0.351,2.0,88.4,6184,95.2,Andrew,4
Alex Bregman,HOU,3B,146,630,529,143,34,1,26,92,93,88,84,8,3,1,0.271,0.380,0.490,0.870,0.372,5.3,88.4,17678,95.0,Justin,4
Wander Franco,TBR,SS,149,644,582,166,33,9,20,94,85,50,84,5,9,6,0.286,0.345,0.476,0.821,0.350,5.2,59.2,23667,94.8,Evans,4
Trevor Story,BOS,SS,152,658,585,151,37,5,27,92,87,59,164,9,22,7,0.258,0.332,0.477,0.809,0.344,4.5,34.2,12564,94.7,Jeff,5
Corey Seager,TEX,SS,139,602,533,155,34,3,26,91,89,58,99,5,4,1,0.291,0.363,0.510,0.873,0.371,5.0,78.8,13624,94.4,Myron,4
Carlos Correa,MIN,SS,147,637,555,153,34,1,27,90,93,70,120,5,1,0,0.276,0.359,0.488,0.848,0.361,5.4,98.7,14162,94.1,Paula,4
Miguel Sano,MIN,1B,151,651,568,130,28,1,39,90,101,73,225,5,2,1,0.228,0.319,0.487,0.806,0.342,1.5,280.6,12164,93.8,Justin,5
Brandon Lowe,TBR,2B,143,616,538,132,29,2,35,89,96,64,172,9,7,2,0.246,0.333,0.501,0.834,0.353,4.6,77.3,18882,93.5,John,4
Marcus Semien,TEX,2B/SS,154,665,590,155,32,2,30,97,82,66,124,3,12,4,0.263,0.339,0.478,0.817,0.349,4.9,39.1,12533,93.2,Paula,2
