Name,Team,GS,G,IP,W,L,SV,H,ER,HR,SO,BB,WHIP,K/9,BB/9,ERA,FIP,WAR,RA9-WAR,ADP,FanGraphs ID,Proj Rtg,Mgr,Rd
Gerrit Cole,NYY,32,32,199,16,8,0,154,67,25,267,51,1.03,12.10,2.31,3.04,2.97,5.8,5.9,6.9,13125,147.3,Andrew,1
Shane Bieber,CLE,31,31,189,13,8,0,161,69,24,237,49,1.11,11.24,2.33,3.27,3.17,4.7,5.0,31.5,19427,128.1,Rich,1
Robbie Ray,SEA,32,32,193,12,9,0,151,77,30,253,66,1.12,11.77,3.05,3.57,3.70,3.7,4.0,48.8,11486,118.7,Andrew,2
Justin Verlander,HOU,29,29,180,14,8,0,145,70,31,220,40,1.03,11.00,2.01,3.52,3.75,3.4,4.1,85.5,8700,115.7,Myron,3
Kevin Gausman,TOR,32,32,187,13,9,0,167,78,27,202,49,1.16,9.72,2.37,3.77,3.75,3.4,4.1,71.2,14107,106.8,Paula,1
Lucas Giolito,CHW,31,31,181,13,9,0,151,75,27,215,58,1.15,10.69,2.89,3.70,3.76,3.9,3.8,41.3,15474,107.0,Ronnie,2
Jose Berrios,TOR,32,32,196,13,9,0,179,85,28,201,53,1.19,9.26,2.44,3.89,3.94,3.2,4.0,77.1,14168,105.8,Jeff,2
Eduardo Rodriguez,DET,32,32,183,12,10,0,169,75,22,192,58,1.24,9.47,2.86,3.67,3.64,3.8,4.0,144,13164,105.5,Justin,3
Frankie Montas,OAK,31,31,178,11,10,0,161,73,23,192,54,1.20,9.67,2.71,3.66,3.74,3.1,3.5,91.3,14309,103.0,Scott,3
Framber Valdez,HOU,31,31,187,13,9,0,172,78,18,175,78,1.34,8.41,3.75,3.77,3.96,2.9,3.5,146,17295,101.2,Rich,4
Nathan Eovaldi,BOS,31,31,178,12,8,0,171,76,22,185,43,1.20,9.32,2.15,3.82,3.58,3.7,3.9,129.4,9132,99.3,Andrew,5
Lance Lynn,CHW,31,31,181,12,10,0,166,81,28,193,59,1.24,9.60,2.91,4.01,4.12,3.1,3.0,69.7,2520,93.6,Myron,2
Hyun-Jin Ryu,TOR,29,29,166,12,9,0,164,71,23,142,37,1.22,7.70,1.99,3.88,3.99,2.5,3.4,207.7,14444,88.9,Andrew,9
Shohei Ohtani,LAA,28,28,156,9,7,0,132,64,20,183,57,1.21,10.55,3.27,3.71,3.73,3.0,3.3,8.7,19755,88.8,Evans,1
Dylan Cease,CHW,31,31,163,11,9,0,138,72,23,200,71,1.28,11.06,3.91,3.98,3.96,3.1,2.9,79.6,18525,86.2,Ronnie,7
Shane McClanahan,TBR,28,28,148,11,8,0,133,62,20,165,51,1.24,10.02,3.08,3.75,3.81,2.2,2.6,106.8,21483,85.1,Paula,3
Luis Severino,NYY,24,36,149,11,8,0,139,64,20,155,43,1.22,9.35,2.61,3.84,3.84,2.4,2.5,178,15890,82.9,Evans,12
