MLBID,Name,Team,Mgr,Rd,Acquired
545358,Max Stassi,LAA,Evans,15,Draft
545361,Mike Trout,LAA,Justin,1,Draft
571771,Enrique Hernandez,BOS,Jeff,7,Draft
570482,Gio Urshela,MIN,Myron,17,Draft
595281,Kevin Kiermaier,TBR,Paula,22,Draft
594777,Kole Calhoun,TEX,Paula,21,Draft
570731,Jonathan Schoop,DET,Myron,6,Draft
593160,Whit Merrifield,KCR,Ronnie,6,Draft
518735,Yasmani Grandal,CHW,Justin,7,Draft
596142,Gary Sanchez,MIN,Myron,9,Draft
572191,Michael A. Taylor,KCR,Jeff,18,Draft
596146,Max Kepler,MIN,Rich,11,Draft
593428,Xander Bogaerts,BOS,Scott,2,Draft
593934,Miguel Sano,MIN,Justin,5,Draft
596059,Rougned Odor,BAL,Myron,19,Draft
543760,Marcus Semien,TEX,Paula,2,Draft
553993,Eugenio Suarez,SEA,Jeff,10,Draft
596115,Trevor Story,BOS,Jeff,5,Draft
543543,Brad Miller,TEX,John,20,Draft
543807,George Springer,TOR,Andrew,3,Draft
543685,Anthony Rendon,LAA,John,5,Draft
595879,Javier Baez,DET,Rich,5,Draft
598265,Jackie Bradley Jr.,BOS,Scott,23,Draft
606192,Teoscar Hernandez,TOR,John,1,Draft
593871,Jorge Polanco,MIN,John,2,Draft
572287,Mike Zunino,TBR,Paula,14,Draft
572039,Stephen Piscotty,OAK,Ronnie,24,Draft
608070,Jose Ramirez,CLE,Myron,1,Draft
608385,Jesse Winker,SEA,John,8,Draft
600869,Jeimer Candelario,DET,Andrew,12,Draft
608369,Corey Seager,TEX,Myron,4,Draft
609275,Adalberto Mondesi,KCR,Myron,15,Draft
622110,Matt Duffy,LAA,Jeff,20,Draft
606992,Eric Haase,DET,Scott,18,Draft
608336,Joey Gallo,NYY,Paula,8,Draft
621439,Byron Buxton,MIN,Justin,8,Draft
621043,Carlos Correa,MIN,Paula,4,Draft
571745,Mitch Haniger,SEA,Scott,4,Draft
606132,Raimel Tapia,TOR,John,23,Draft
623993,Anthony Santander,BAL,Ron,12,Draft
614177,Franmil Reyes,CLE,Andrew,6,Draft
622534,Manuel Margot,TBR,Jeff,14,Draft
643393,Tony Kemp,OAK,Andrew,20,Draft
641531,Hunter Dozier,KCR,Scott,16,Draft
641820,Trey Mancini,BAL,Jeff,8,Draft
641598,Mitch Garver,TEX,Andrew,10,Draft
641313,Tim Anderson,CHW,Ron,4,Draft
640461,Chad Pinder,OAK,Rich,24,Draft
624428,Adam Frazier,SEA,Evans,9,Draft
641487,J.P. Crawford,SEA,Ron,15,Draft
642708,Amed Rosario,CLE,Rich,10,Draft
592450,Aaron Judge,NYY,Evans,2,Draft
640457,Austin Meadows,TBR,Paula,6,Draft
547989,Jose Abreu,CHW,Ron,3,Draft
642180,Tyler Wade,LAA,Ron,25,Draft
609280,Miguel Andujar,NYY,Evans,24,Draft
620443,Luis Torrens,SEA,Andrew,23,Draft
649557,Aledmys Diaz,HOU,Ron,23,Draft
605548,Bradley Zimmer,CLE,Jeff,24,Draft
624414,Christian Arroyo,BOS,Evans,20,Draft
656305,Matt Chapman,TOR,Andrew,7,Draft
643396,Isiah Kiner-Falefa,NYY,Scott,12,Draft
643376,Danny Jansen,TOR,John,24,Draft
650490,Yandy Diaz,TBR,Justin,17,Draft
650402,Gleyber Torres,NYY,Justin,6,Draft
657077,Alex Verdugo,BOS,Scott,8,Draft
657656,Ramon Laureano,OAK,Justin,13,Draft
660162,Yoan Moncada,CHW,Rich,7,Draft
622761,Jorge Mateo,BAL,Jeff,21,Draft
656252,Bobby Bradley,CLE,Paula,24,Draft
650489,Willi Castro,DET,Myron,23,Draft
646240,Rafael Devers,BOS,Scott,1,Draft
408234,Miguel Cabrera,DET,Evans,17,Draft
650391,Eloy Jimenez,CHW,Evans,5,Draft
664702,Myles Straw,CLE,Paula,10,Draft
608324,Alex Bregman,HOU,Justin,4,Draft
641432,Willie Calhoun,TEX,Rich,13,Draft
643217,Andrew Benintendi,KCR,John,12,Draft
656775,Cedric Mullins,BAL,Myron,5,Draft
664034,Ty France,SEA,John,6,Draft
664058,David Fletcher,LAA,Justin,12,Draft
664238,Dylan Moore,SEA,Myron,24,Draft
664913,Seth Brown,OAK,Scott,13,Draft
663656,Kyle Tucker,HOU,Rich,2,Draft
663624,Ryan Mountcastle,BAL,Paula,5,Draft
650333,Luis Arraez,MIN,Andrew,16,Draft
665120,Jared Walsh,LAA,Rich,3,Draft
602104,Ramon Urias,BAL,Scott,19,Draft
628451,Andy Ibanez,TEX,Justin,22,Draft
647304,Josh Naylor,CLE,Justin,18,Draft
664040,Brandon Lowe,TBR,John,4,Draft
493329,Yuli Gurriel,HOU,John,7,Draft
666971,Lourdes Gurriel Jr.,TOR,Myron,7,Draft
624415,Cavan Biggio,TOR,Rich,18,Draft
666969,Adolis Garcia,TEX,Jeff,6,Draft
668227,Randy Arozarena,TBR,Rich,6,Draft
669256,Nick Solak,TEX,Rich,23,Draft
670032,Nicky Lopez,KCR,Andrew,13,Draft
669221,Sean Murphy,OAK,John,13,Draft
669720,Austin Hays,BAL,Andrew,11,Draft
641786,Kyle Lewis,SEA,Myron,21,Draft
670541,Yordan Alvarez,HOU,Justin,2,Draft
663993,Nate Lowe,TEX,Andrew,8,Draft
676801,Chas McCormick,HOU,Ron,19,Draft
665489,Vladimir Guerrero Jr.,TOR,Jeff,1,Draft
666182,Bo Bichette,TOR,Ron,1,Draft
660271,Shohei Ohtani,LAA,Evans,1,Draft
647351,Abraham Toro,SEA,Ron,20,Draft
657757,Gavin Sheets,CHW,Jeff,16,Draft
665506,Cristian Pache,OAK,Rich,20,Draft
665926,Andres Gimenez,CLE,Justin,19,Draft
666915,Bobby Dalbec,BOS,Scott,10,Draft
669289,Santiago Espinal,TOR,Jeff,23,Draft
673357,Luis Robert,CHW,Evans,3,Draft
669016,Brandon Marsh,LAA,Paula,19,Draft
666176,Jo Adell,LAA,Rich,16,Draft
675656,Kevin Smith,OAK,Rich,19,Draft
676694,Jake Meyers,HOU,Justin,24,Draft
666135,Alex Kirilloff,MIN,Myron,13,Draft
668731,Akil Baddoo,DET,Jeff,12,Draft
672284,Jarred Kelenic,SEA,John ,17,Draft
672386,Alejandro Kirk,TOR,Rich,14,Draft
677551,Wander Franco,TBR,Evans,4,Draft
467793,Carlos Santana,KCR,John,16,Draft
683734,Andrew Vaughn,CHW,Evans,16,Draft
519203,Anthony Rizzo,NYY,Evans,6,Draft
519346,Eric Thames,OAK,Andrew,24,Draft
488726,Michael Brantley,HOU,Evans,8,Draft
476704,Jed Lowrie,OAK,Myron,16,Draft
519317,Giancarlo Stanton,NYY,Ron,5,Draft
518626,Josh Donaldson,NYY,Evans,7,Draft
457708,Justin Upton,LAA,Paula,18,Draft
543257,Robbie Grossman,DET,Paula,12,Draft
543305,Aaron Hicks,NYY,Myron,18,Draft
