MLBID,Name,Team,Mgr,Rd,Acquired
547973,Aroldis Chapman,NYY,Evans,14,Draft
519242,Chris Sale,BOS,Evans,11,Draft
592662,Robbie Ray,SEA,Andrew,2,Draft
592791,Jameson Taillon,NYY,Rich,16,Draft
592789,Noah Syndergaard,LAA,Evans,10,Draft
554340,Yimi Garcia,TOR,Ron,21,Draft
543243,Sonny Gray,MIN,Rich,8,Draft
552640,Andrew Kittredge,TBR,John,15,Draft
598264,Matt Barnes,BOS,Justin,20,Draft
605164,Dylan Bundy,MIN,Justin,23,Draft
543037,Gerrit Cole,NYY,Andrew,1,Draft
593958,Eduardo Rodriguez,DET,Justin,3,Draft
573124,Taylor Rogers,MIN,Justin,16,Draft
623149,Paul Sewald,SEA,John,25,Draft
623167,Chris Flexen,SEA,Jeff,11,Draft
608379,Michael Wacha,BOS,Ron,26,Draft
592332,Kevin Gausman,TOR,Paula,1,Draft
621121,Lance McCullers,HOU,Andrew,15,Draft
621244,Jose Berrios,TOR,Jeff,2,Draft
593423,Frankie Montas,OAK,Scott,3,Draft
547943,Hyun-Jin Ryu,TOR,Andrew,9,Draft
547179,Michael Lorenzen,LAA,John,26,Draft
592351,Jon Gray,TEX,Evans,13,Draft
605130,Scott Barlow,KCR,Paula,16,Draft
642152,Lou Trivino,OAK,Andrew,22,Draft
601713,Nick Pivetta,BOS,John,19,Draft
594835,Marco Gonzales,SEA,Scott,11,Draft
608337,Lucas Giolito,CHW,Ronnie,2,Draft
608665,Kendall Graveman,CHW,Ron,21,Draft
643338,Chad Green,NYY,Jeff,17,Draft
641745,Brad Keller,KCR,Scott,24,Draft
622663,Luis Severino,NYY,Evans,12,Draft
605447,Jordan Romano,TOR,Paula,13,Draft
607481,Aaron Bummer,CHW,Justin,21,Draft
607644,John Means,BAL,Jeff,9,Draft
642232,Ryan Yarbrough,TBR,Rich,21,Draft
656756,Jordan Montgomery,NYY,Paula,9,Draft
628452,Raisel Iglesias,LAA,Myron,10,Draft
656629,Michael Kopech,CHW,Justin,9,Draft
664285,Framber Valdez,HOU,Rich,4,Draft
664299,Cristian Javier,HOU,Ron,13,Draft
641302,Tyler Alexander,DET,Scott,25,Draft
641482,Nestor Cortes,NYY,John,18,Draft
663474,Triston McKenzie,CLE,Myron,11,Draft
621076,James Kaprielian,OAK,Scott,21,Draft
664353,Jose Urquidy,HOU,Ron,9,Draft
656302,Dylan Cease,CHW,Ronnie,7,Draft
608716,Drew Steckenrider,SEA,Jeff,26,Draft
608344,Cole Irvin,OAK,Jeff,15,Draft
615698,Cal Quantrill,CLE,Paula,11,Draft
641726,Daulton Jefferies,OAK,John,22,Draft
641540,Dane Dunning,TEX,Paula,17,Draft
669456,Shane Bieber,CLE,Rich,1,Draft
425844,Zack Greinke,KCR,Justin,11,Draft
663776,Patrick Sandoval,LAA,Rich,12,Draft
660896,Jorge Alcala,MIN,Ron,22,Draft
650644,Aaron Civale,CLE,John,9,Draft
642397,Gregory Soto,DET,Evans,21,Draft
642528,Jonathan Loaisiga,NYY,Ron,17,Draft
660271,Shohei Ohtani,LAA,Evans,1,Draft
656557,Tanner Houck,BOS,John,11,Draft
660761,Jose Suarez,LAA,Andrew,21,Draft
668676,Zach Plesac,CLE,Myron,14,Draft
669330,Tyler Wells,BAL,Jeff,19,Draft
663878,Nate Pearson,TOR,Myron,22,Draft
656713,Brendan McKay,,Evans,23,Draft
676477,Garrett Whitlock,BOS,Andrew,19,Draft
665620,Deivi Garcia,NYY,Evans,22,Draft
663554,Casey Mize,DET,Justin,10,Draft
579328,Yusei Kikuchi,TOR,John,16,Draft
661403,Emmanuel Clase,CLE,Ron,11,Draft
661563,Luis Gil,NYY,Scott,20,Draft
641927,Bailey Ober,MIN,Scott,17,Draft
657746,Joe Ryan,MIN,John,10,Draft
663460,Kris Bubic,KCR,Paula,15,Draft
663556,Shane McClanahan,TBR,Paula,3,Draft
669302,Logan Gilbert,SEA,Andrew,14,Draft
669358,Shane Baz,TBR,Myron,12,Draft
669373,Tarik Skubal,DET,Myron,8,Draft
669618,Joe Barlow,TEX,Myron,20,Draft
672578,Carlos Hernandez,KCR,Paula,23,Draft
672715,Luis Patino,TBR,Rich,17,Draft
677651,Luis Garcia,HOU,Scott,6,Draft
446372,Corey Kluber,TBR,Evans,18,Draft
458681,Lance Lynn,CHW,Myron,2,Draft
663903,Brady Singer,KCR,Justin,15,Draft
656876,Drew Rasmussen,TBR,John,3,Draft
666201,Alek Manoah,TOR,Jeff,4,Draft
521230,Liam Hendriks,CHW,Scott,9,Draft
448179,Rich Hill,BOS,John,14,Draft
501381,Michael Pineda,DET,Jeff,13,Draft
543606,Jake Odorizzi,HOU,Scott,22,Draft
519151,Ryan Pressly,HOU,Rich,9,Draft
434378,Justin Verlander,HOU,Myron,3,Draft
543135,Nathan Eovaldi,BOS,Andrew,5,Draft
666374,Matt Brash,SEA,Rich,22,Draft
