Name,Team,Pos,MLBID,FanGraphs ID,BRef ID,Manager,Rd
Aaron Judge,NYY,OF/DH,592450,15640,judgeaa01,Justin,1
Jose Ramirez,CLE,3B/DH,608070,13510,ramirjo01,John,1
Vladimir Guerrero Jr.,TOR,1B/DH,665489,19611,guerrvl02,Rich,1
Kyle Tucker,HOU,OF,663656,18345,tuckeky01,Myron,1
Yordan Alvarez,HOU,OF/DH,670541,19556,alvaryo01,Paula,1
Bo Bichette,TOR,SS,666182,19612,bichebo01,Andrew,2
Mike Trout,LAA,OF,545361,10155,troutmi01,Ron,1
Rafael Devers,BOS,3B,646240,17350,deverra01,Justin,2
Shohei Ohtani,LAA,P/DH,660271,19755,ohtansh01,Scott,1
Julio Rodriguez,SEA,OF,677594,23697,rodriju01,Evans,1
Bobby Witt Jr.,KCR,3B/SS,677951,25764,wittbo02,Scott,3
Marcus Semien,TEX,2B,543760,12533,semiema01,John,3
Alex Bregman,HOU,3B,608324,17678,bregmal01,Andrew,3
Corey Seager,TEX,SS,608369,13624,seageco01,Rich,3
Randy Arozarena,TBR,OF/DH,668227,19290,arozara01,Jeff,3
Teoscar Hernandez,SEA,OF,606192,13066,hernate01,Scott,4
George Springer,TOR,OF/DH,543807,12856,springe01,Myron,6
Wander Franco,TBR,SS,677551,23667,francwa01,Evans,5
Jose Abreu,HOU,1B/DH,547989,15676,abreujo02,Ron,3
Adolis Garcia,TEX,OF/DH,666969,19287,garciad02,Jeff,2
Eloy Jimenez,CHW,OF/DH,650391,17484,jimenel02,Evans,6
Carlos Correa,MIN,SS,621043,14162,correca01,Justin,6
Luis Robert Jr.,CHW,OF,673357,20043,roberlu01,Evans,4
Cedric Mullins,BAL,OF,656775,17929,mullice01,Andrew,6
Anthony Santander,BAL,OF/DH,623993,14551,santaan02,Rich,4
Tim Anderson,CHW,SS,641313,15172,anderti01,Jeff,9
Amed Rosario,CLE,SS,642708,15518,rosaram01,John,4
Matt Chapman,TOR,3B,656305,16505,chapmma01,Rich,6
Nathaniel Lowe,TEX,1B,663993,19566,lowena01,Paula,6
Taylor Ward,LAA,OF,621493,17548,wardta01,Andrew,7
Josh Bell,CLE,1B/DH,605137,13145,belljo02,Jeff,6
Ryan Mountcastle,BAL,1B/DH,663624,18373,mountry01,Andrew,9
Vinnie Pasquantino,KCR,1B/DH,686469,27676,pasquvi01,Scott,10
Steven Kwan,CLE,OF,680757,24610,kwanst01,John,7
Gleyber Torres,NYY,2B,650402,16997,torregl01,Myron,7
Andres Gimenez,CLE,2B,665926,19950,gimenan01,Justin,7
Javier Baez,DET,SS,595879,12979,baezja01,Paula,10
Daulton Varsho,TOR,C/OF,662139,19918,varshda01,Andrew,4
Byron Buxton,MIN,OF/DH,621439,14161,buxtoby01,Paula,11
Salvador Perez,KCR,C/DH,521692,7304,perezsa02,Scott,6
Anthony Rizzo,NYY,1B,519203,3473,rizzoan01,John,6
Ty France,SEA,1B,664034,17982,francty01,Justin,8
Jeremy Pena,HOU,SS,665161,21636,penaje02,Ron,5
Alex Verdugo,BOS,OF,657077,17027,verdual01,Paula,8
Hunter Renfroe,LAA,OF,592669,15464,renfrhu01,Myron,8
Gunnar Henderson,BAL,3B/SS,683002,26289,hendegu01,Myron,3
Eugenio Suarez,SEA,3B,553993,12552,suareeu01,Jeff,7
Andrew Vaughn,CHW,1B/OF/DH,683734,26197,vaughan01,Evans,8
Giancarlo Stanton,NYY,OF/DH,519317,4949,stantmi03,Rich,8
Jorge Polanco,MIN,2B,593871,13152,polanjo01,Evans,9
Brandon Lowe,TBR,2B,664040,18882,lowebr01,Rich,7
Josh Naylor,CLE,1B/DH,647304,18839,naylojo01,Scott,11
Yandy Diaz,TBR,3B,650490,16578,diazya01,John,11
