Name,Team,Pos,FanGraphs ID,BRef ID,MLBID,Manager,Rd
Aaron Judge,NYY,OF/DH,15640,judgeaa01,592450,Ron,1
Juan Soto,NYY,OF,20123,sotoju01,665742,Justin,1
Yordan Alvarez,HOU,OF/DH,19556,alvaryo01,670541,John,1
Kyle Tucker,HOU,OF,18345,tuckeky01,663656,Scott,2
Bobby Witt Jr.,KCR,SS,25764,wittbo02,677951,Andrew,1
Julio Rodríguez,SEA,OF,23697,rodriju01,677594,Myron,1
Rafael Devers,BOS,3B,17350,deverra01,646240,John,2
Vladimir Guerrero Jr.,TOR,1B/DH,19611,guerrvl02,665489,Evans,1
José Ramírez,CLE,3B/DH,13510,ramirjo01,608070,Rich,1
Mike Trout,LAA,OF,10155,troutmi01,545361,Evans,3
Luis Robert Jr.,CHW,OF,20043,roberlu01,673357,Justin,2
Jose Altuve,HOU,2B,5417,altuvjo01,514888,John,3
Bo Bichette,TOR,SS,19612,bichebo01,666182,Evans,2
Marcus Semien,TEX,2B,12533,semiema01,543760,Jeff,1
Corey Seager,TEX,SS,13624,seageco01,608369,Rich,2
Gleyber Torres,NYY,2B,16997,torregl01,650402,Ron,5
Gunnar Henderson,BAL,3B/SS,26289,hendegu01,683002,Myron,2
Alex Bregman,HOU,3B,17678,bregmal01,608324,Paula,1
Randy Arozarena,TBR,OF,19290,arozara01,668227,Rich,3
Yandy Díaz,TBR,1B,16578,diazya01,650490,Jeff,2
Anthony Santander,BAL,OF/DH,14551,santaan02,623993,Jeff,3
George Springer,TOR,OF/DH,12856,springe01,543807,Paula,3
Triston Casas,BOS,1B,22514,casastr01,671213,Justin,6
Adolis García,TEX,OF,19287,garciad02,666969,Ron,2
Royce Lewis,MIN,3B,20437,lewisro02,668904,Justin,4
Eloy Jiménez,CHW,DH,17484,jimenel02,650391,Evans,10
Andrés Giménez,CLE,2B,19950,gimenan01,665926,Andrew,5
Spencer Torkelson,DET,1B,27465,torkesp01,679529,Ron,4
Vinnie Pasquantino,KCR,1B/DH,27676,pasquvi01,686469,Rich,9
Josh Naylor,CLE,1B/DH,18839,naylojo01,647304,Rich,5
Steven Kwan,CLE,OF,24610,kwanst01,680757,Jeff,6
Adley Rutschman,BAL,C/DH,26288,rutscad01,668939,Andrew,2
Riley Greene,DET,OF,25976,greenri03,682985,Rich,7
Cedric Mullins,BAL,OF,17929,mullice01,656775,Andrew,7
Josh Jung,TEX,3B,26299,jungjo01,673962,Evans,5
Trevor Story,BOS,SS,12564,storytr01,596115,Justin,10
Andrew Vaughn,CHW,1B,26197,vaughan01,683734,John,12
Taylor Ward,LAA,OF,17548,wardta01,621493,Rich,14
Carlos Correa,MIN,SS,14162,correca01,621043,Ron,7
Salvador Perez,KCR,C/1B/DH,7304,perezsa02,521692,Ron,8
Nathaniel Lowe,TEX,1B,19566,lowena01,663993,Myron,5
Isaac Paredes,TBR,1B/3B,20036,paredis01,670623,Andrew,6
Byron Buxton,MIN,DH,14161,buxtoby01,621439,Justin,12
Wyatt Langford,TEX,DH,33333,langfwy01,694671,Evans,4
Daulton Varsho,TOR,OF,19918,varshda01,662139,Ron,13
Jorge Polanco,SEA,2B,13152,polanjo01,593871,Scott,5
José Abreu,HOU,1B,15676,abreujo02,547989,Scott,10
Jeremy Peña,HOU,SS,21636,penaje02,665161,John,11
Zack Gelof,OAK,2B,29766,gelofza01,680869,Justin,7
Anthony Rizzo,NYY,1B,3473,rizzoan01,519203,Evans,13
J.P. Crawford,SEA,SS,15491,crawfjp01,641487,Jeff,5
Ryan Mountcastle,BAL,1B/DH,18373,mountry01,663624,John,7
Brandon Drury,LAA,1B/2B,11615,drurybr01,592273,Myron,6
Masataka Yoshida,BOS,OF/DH,31837,yoshima02,807799,Paula,8
Evan Carter,TEX,OF,27790,carteev01,694497,Myron,7
Tyler O'Neill,BOS,OF,15711,oneilty01,641933,Scott,11
Anthony Volpe,NYY,SS,27647,volpean01,683011,Paula,6
Max Kepler,MIN,OF,12144,keplema01,596146,John,16
Yoán Moncada,CHW,3B,17232,moncayo01,660162,Myron,15
Ty France,SEA,1B,17982,francty01,664034,Scott,9
Cal Raleigh,SEA,C,21534,raleica01,663728,Paula,7
MJ Melendez,KCR,OF,22197,melenmj01,669004,Paula,15
