Name,Team,FanGraphs ID,MLBID,Manager,Rd
Framber Valdez,HOU,17295,664285,Ron,3
Kevin Gausman,TOR,14107,592332,Evans,4
Luis Castillo,SEA,15689,622491,Justin,3
Pablo López,MIN,17085,641154,Paula,1
Corbin Burnes,BAL,19361,669203,Scott,1
George Kirby,SEA,25436,669923,Scott,3
Logan Gilbert,SEA,22250,669302,Andrew,4
Tarik Skubal,DET,22267,669373,Myron,3
Zach Eflin,TBR,13774,621107,Rich,4
Tanner Bibee,CLE,30134,676440,John,4
Grayson Rodriguez,BAL,24492,680570,Justin,5
Shane Bieber,CLE,19427,669456,Andrew,3
Chris Bassitt,TOR,12304,605135,Paula,4
Cole Ragans,KCR,21846,666142,Myron,4
Joe Ryan,MIN,21390,657746,Evans,6
José Berríos,TOR,14168,621244,Rich,6
Hunter Brown,HOU,25880,686613,Justin,8
Nick Pivetta,BOS,15454,601713,Andrew,8
Bailey Ober,MIN,21224,641927,Rich,8
Marcus Stroman,NYY,13431,573186,Evans,8
Nathan Eovaldi,TEX,9132,543135,Myron,9
Brayan Bello,BOS,23920,678394,Jeff,10
Carlos Rodón,NYY,16137,607074,Evans,7
Cristian Javier,HOU,17606,664299,Paula,9
Aaron Civale,TBR,19479,650644,Ron,6
Nestor Cortes,NYY,17874,641482,Evans,11
Yusei Kikuchi,TOR,20633,579328,Rich,11
Bryce Miller,SEA,29837,682243,John,8
Reid Detmers,LAA,27468,672282,???,?
Jon Gray,TEX,14916,592351,Evans,12
Louie Varland,MIN,27691,686973,Scott,18
Patrick Sandoval,LAA,19447,663776,Scott,21
Griffin Canning,LAA,19867,656288,Andrew,13
JP Sears,OAK,23429,676664,Paula,13
Justin Verlander,HOU,8700,434378,John,5
Triston McKenzie,CLE,18000,663474,Evans,9
Dean Kremer,BAL,19350,665152,Ron,9
Ryan Pepiot,TBR,26221,686752,Justin,14
Clarke Schmidt,NYY,19899,657376,Myron,18
Logan Allen,CLE,27589,671106,Paula,14
Gavin Williams,CLE,30122,668909,Jeff,14
Kenta Maeda,DET,18498,628317,Justin,15
Seth Lugo,KCR,12447,607625,Jeff,9
Brady Singer,KCR,25377,663903,Rich,17
Dane Dunning,TEX,19409,641540,Scott,12
Tanner Houck,BOS,19879,656557,Myron,20
Kutter Crawford,BOS,20531,676710,Andrew,14
Emmanuel Clase,CLE,21032,661403,Myron,10
Reese Olson,DET,24968,681857,Andrew,19
Kyle Bradish,BAL,24586,680694,Jeff,11
Garrett Whitlock,BOS,20191,676477,Myron,18
Zack Littell,TBR,15823,641793,Jeff,13
Garrett Crochet,CHW,27463,676979,Scott,8
Jack Flaherty,DET,17479,656427,Rich,15
Michael Wacha,KCR,14078,608379,John,9
Josh Hader,HOU,14212,623352,Ron,11
Andrés Muñoz,SEA,20373,662253,Rich,13
Andrew Heaney,TEX,15423,571760,Jeff,16
Chris Paddack,MIN,20099,663978,Evans,20
Tyler Anderson,LAA,12880,542881,John,21
Chase Silseth,LAA,30074,681217,Andrew,22
Gerrit Cole,NYY,13125,543037,Evans,14
Bryan Woo,SEA,30279,693433,Myron,11
John Means,BAL,16269,607644,John,13
Clay Holmes,NYY,13649,605280,Paula,11
Paul Blackburn,OAK,14739,621112,Paula,20
Ross Stripling,OAK,13273,548389,John,22
Pete Fairbanks,TBR,17998,664126,Scott,16
Shane Baz,TBR,22264,669358,Justin,21
J.P. France,HOU,21212,641585,Jeff,20
Tyler Wells,BAL,20000,669330,Ron,14
Craig Kimbrel,BAL,6655,518886,Rich,21
Bryan Abreu,HOU,16609,650556,John,19
Alex Wood,OAK,13781,622072,Scott,22
Casey Mize,DET,20492,663554,Rich,22
Mason Miller,OAK,31757,695243,Justin,13
Erick Fedde,CHW,17425,607200,Justin,23
Jordan Romano,TOR,16122,605447,Andrew,16
Michael Soroka,CHW,18383,647336,Myron,16
Max Scherzer,TEX,3137,453286,Evans,23
Ryan Pressly,HOU,7005,519151,Ron,17
Jhoan Duran,MIN,21029,661395,Justin,24
Jason Adam,TBR,11861,592094,Andrew,20
Alex Lange,DET,19883,656638,Paula,17
Yennier Cano,BAL,25911,666974,Andrew,23
Joe Boyle,OAK,29608,671212,John,20
Chris Martin,BOS,11847,455119,John,25
Kenley Jansen,BOS,3096,445276,Evans,19
Luis Gil,NYY,21052,661563,Ron,22
Michael Lorenzen,TEX,14843,547179,Ron,21
José Leclerc,TEX,14524,600917,Justin,16
Cole Irvin,BAL,19244,608344,Jeff,22
Tim Mayza,TOR,15042,641835,John,26
Griffin Jax,MIN,20253,643377,Rich,24
Alek Manoah,TOR,26410,666201,Justin,22
Yimi García,TOR,12095,554340,Rich,26
Shawn Armstrong,TBR,12857,542888,Jeff,26
Jason Foley,DET,19531,671345,Paula,22
Colin Poche,TBR,19403,621363,Scott,25
Ronel Blanco,HOU,19407,669854,Myron,19
José Urquidy,HOU,18413,664353,Justin,25
Kirby Yates,TEX,9073,489446,Justin,26
Tyler Alexander,TBR,17735,641302,Scott,26
Cody Bradford,TEX,27597,674003,Myron,13
Ben Lively,CLE,14932,594902,Paula,
