Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,FanGraphs ID,Proj Rtg,Mgr,Rd
Shane Bieber,CLE,14,9,3.27,31,31,0,195,163,71,25,247,47,1.08,11.42,2.2,3.16,5.3,5.6,10,19427,130.0,Jeff,1
Gerrit Cole,NYY,15,9,3.54,32,32,0,201,162,79,30,264,58,1.09,11.82,2.57,3.5,5.2,5.1,7.4,13125,125.7,Evans,1
Tyler Glasnow,TBR,11,9,3.55,28,28,0,163,129,64,20,210,64,1.19,11.6,3.56,3.55,3.6,3.7,45.7,14374,98.4,Paula,2
Hyun-Jin Ryu,TOR,12,9,3.97,29,29,0,179,179,79,24,159,46,1.26,8.02,2.33,4.08,3.2,3.4,70.6,14444,91.1,Andrew,2
Lance Lynn,CHW,11,11,4.2,31,31,0,191,179,89,31,205,64,1.27,9.63,3.03,4.3,3.1,2.9,54.8,2520,90.3,Andrew,3
Lucas Giolito,CHW,11,10,4.04,29,29,0,172,149,77,27,204,65,1.24,10.66,3.39,4.15,3,3,17.5,15474,88.1,Scott,1
Zack Greinke,HOU,12,10,4.26,31,31,0,191,195,90,32,166,42,1.25,7.86,1.99,4.38,2.5,2.7,104.2,1943,87.8,Jeff,3
Jose Berrios,MIN,11,10,4.24,29,29,0,178,167,84,27,183,58,1.27,9.28,2.96,4.27,2.8,3,82.2,14168,83.1,Rich,1
Jesus Luzardo,OAK,10,8,3.75,26,26,0,151,135,63,20,155,51,1.23,9.24,3.05,4,2.9,2.9,98.5,19959,83.0,Rich,4
Lance McCullers Jr.,HOU,10,8,3.76,26,26,0,148,136,62,17,151,54,1.29,9.16,3.26,3.89,2.7,2.8,118.1,14120,80.8,Rich,8
Andrew Heaney,LAA,11,10,4.27,29,29,0,172,161,81,30,176,52,1.24,9.25,2.74,4.49,2.5,2.7,224.5,15423,80.2,Andrew,7
Kenta Maeda,MIN,11,10,4.28,29,29,0,172,162,82,27,178,56,1.27,9.33,2.93,4.31,2.9,2.8,48.9,18498,79.7,Myron,2
Robbie Ray,TOR,11,9,4.31,29,29,0,163,137,78,26,203,85,1.36,11.2,4.71,4.5,2.4,2.6,299.4,11486,75.5,Evans,16
Corey Kluber,NYY,10,8,4.19,26,26,0,156,149,72,26,162,43,1.23,9.35,2.47,4.24,2.6,2.7,167.5,2429,75.4,Evans,6
Chris Bassitt,OAK,10,11,4.39,29,29,0,176,171,86,26,156,57,1.3,7.96,2.91,4.54,2,2.2,191.6,12304,74.6,Paula,4
Sean Manaea,OAK,10,10,4.23,28,28,0,161,162,76,24,138,45,1.28,7.67,2.5,4.41,2.1,2.2,251.3,15873,73.5,Andrew,10
Eduardo Rodriguez,BOS,10,9,4.39,28,28,0,165,159,81,25,174,64,1.35,9.45,3.47,4.34,2.4,2.6,206.4,13164,72.3,Jeff,16
Yusei Kikuchi,SEA,9,10,4.21,28,28,0,158,151,74,24,149,55,1.3,8.52,3.13,4.43,2.1,2.3,292.9,20633,72.1,Rich,17
Matthew Boyd,DET,9,11,4.49,29,29,0,172,165,86,31,177,55,1.28,9.22,2.87,4.59,2.4,2.7,313.8,15440,71.8,Myron,16
Marco Gonzales,SEA,9,12,4.51,29,29,0,180,189,90,31,142,46,1.31,7.09,2.3,4.75,2.3,2.1,179,15467,71.0,Scott,6
Mike Minor,KCR,10,11,4.55,29,29,0,178,178,90,28,156,60,1.34,7.9,3.02,4.67,2.3,2.6,310.8,10021,70.3,Rich,15
Dallas Keuchel,CHW,10,12,4.55,31,31,0,185,205,94,26,132,63,1.45,6.43,3.04,4.72,2.1,2,215.4,9434,69.6,John,2
Nathan Eovaldi,BOS,10,8,4.24,26,26,0,146,142,69,22,150,44,1.28,9.26,2.7,4.13,2.3,2.6,256.5,9132,69.5,John,16
Frankie Montas,OAK,9,9,4.18,26,26,0,145,137,67,21,139,51,1.3,8.63,3.16,4.31,2.1,2.1,160.7,14309,67.8,John,12
Dylan Bundy,LAA,10,11,4.7,29,29,0,175,173,91,33,167,56,1.31,8.6,2.86,4.81,1.8,2,119.7,12917,66.7,Rich,12
James Paxton,SEA,8,8,4.03,24,24,0,133,120,59,21,141,45,1.24,9.53,3.04,4.23,2.2,2.3,228.4,11828,66.7,Myron,11
Jose Quintana,LAA,10,9,4.45,28,28,0,156,158,77,26,138,50,1.33,7.96,2.87,4.65,1.8,2.1,478.9,11423,65.7,Andrew,17
Chris Archer,TBR,8,9,4.25,24,24,0,139,127,66,22,148,51,1.28,9.57,3.3,4.39,1.8,2.1,477.5,6345,64.0,Andrew,20
Kyle Gibson,TEX,9,12,4.68,29,29,0,174,184,91,25,151,69,1.45,7.77,3.57,4.7,2.2,2.7,554.6,10123,63.1,Myron,17
Ryan Yarbrough,TBR,9,11,4.56,28,28,0,163,170,83,26,126,48,1.33,6.95,2.65,4.8,1.2,1.7,259.4,16502,62.9,Paula,13
Michael Pineda,MIN,10,10,4.65,28,28,0,159,165,82,28,142,42,1.29,8.04,2.35,4.62,2.2,2,231.3,5372,62.7,Jeff,11
