MLBID,Name,Team,Mgr,Rd,Acquired
545361,Mike Trout,LAA,John,1,Draft
578428,Jose Iglesias,LAA,Andrew,24,Draft
545341,Randal Grichuk,TOR,Rich,19,Draft
571771,Enrique Hernandez,BOS,Rich,25,Draft
514917,Cesar Hernandez,CLE,Jeff,9,Draft
570482,Giovanny Urshela,NYY,Rich,14,Draft
592743,Andrelton Simmons,MIN,Andrew,21,Draft
595281,Kevin Kiermaier,TBR,Paula,18,Draft
594809,Adam Eaton,CHW,Andrew,16,Draft
570731,Jonathan Schoop,DET,John,20,Draft
593160,Whit Merrifield,KCR,John,5,Draft
518735,Yasmani Grandal,CHW,Jeff,8,Draft
596142,Gary Sanchez,NYY,Evans,8,Draft
592192,Mark Canha,OAK,Jeff,13,Draft
405395,Albert Pujols,LAA,John,14,Draft
596146,Max Kepler,MIN,Paula,6,Draft
592696,Eddie Rosario,CLE,Scott,5,Draft
593428,Xander Bogaerts,BOS,Rich,2,Draft
593934,Miguel Sano,MIN,Rich,7,Draft
596748,Maikel Franco,BAL,Scott,21,Draft
596059,Rougned Odor,TEX,Paula,22,Draft
543760,Marcus Semien,TOR,Jeff,4,Draft
543807,George Springer,TOR,Andrew,4,Draft
543685,Anthony Rendon,LAA,Scott,2,Draft
606192,Teoscar Hernandez,TOR,John,8,Draft
593871,Jorge Polanco,MIN,Andrew,13,Draft
572287,Mike Zunino,TBR,Myron,27,Draft
572039,Stephen Piscotty,OAK,Rich,21,Draft
608070,Jose Ramirez,CLE,Myron,1,Draft
600869,Jeimer Candelario,DET,John,15,Draft
621311,David Dahl,TEX,Paula,19,Draft
609275,Adalberto Mondesi,KCR,Myron,7,Draft
621563,Joey Wendle,TBR,Myron,25,Draft
608336,Joey Gallo,TEX,Rich,5,Draft
621439,Byron Buxton,MIN,Paula,9,Draft
621043,Carlos Correa,HOU,Evans,5,Draft
624585,Jorge Soler,KCR,Jeff,6,Draft
571745,Mitch Haniger,SEA,John,13,Draft
467092,Wilson Ramos,DET,Andrew,18,Draft
621566,Matt Olson,OAK,Andrew,5,Draft
600524,Renato Nunez,DET,Rich,13,Draft
623993,Anthony Santander,BAL,Scott,10,Draft
608577,Nomar Mazara,DET,Scott,26,Draft
614177,Franmil Reyes,CLE,Andrew,8,Draft
622534,Manuel Margot,TBR,Jeff,28,Draft
572228,Luke Voit,NYY,Paula,5,Draft
641531,Hunter Dozier,KCR,Evans,10,Draft
641820,Trey Mancini,BAL,Rich,9,Draft
641598,Mitch Garver,MIN,Paula,17,Draft
641313,Tim Anderson,CHW,John,7,Draft
641343,Jake Bauers,CLE,Jeff,27,Draft
592669,Hunter Renfroe,BOS,Evans,13,Draft
622682,Victor Reyes,DET,John,26,Draft
641487,J.P. Crawford,SEA,Andrew,19,Draft
642708,Amed Rosario,CLE,John,22,Draft
592450,Aaron Judge,NYY,Evans,2,Draft
640457,Austin Meadows,TBR,Myron,6,Draft
547989,Jose Abreu,CHW,Myron,3,Draft
642133,Rowdy Tellez,TOR,Scott,23,Draft
642180,Tyler Wade,NYY,Paula,26,Draft
609280,Miguel Andujar,NYY,Evans,27,Draft
649557,Aledmys Diaz,HOU,Paula,27,Draft
640449,Clint Frazier,NYY,Scott,8,Draft
642715,Willy Adames,TBR,John,18,Draft
656305,Matt Chapman,OAK,John,3,Draft
643396,Isiah Kiner-Falefa,TEX,Rich,10,Draft
643376,Danny Jansen,TOR,Myron,24,Draft
650402,Gleyber Torres,NYY,Paula,3,Draft
657077,Alex Verdugo,BOS,Jeff,10,Draft
657656,Ramon Laureano,OAK,Rich,11,Draft
660162,Yoan Moncada,CHW,Paula,10,Draft
650489,Willi Castro,DET,Rich,23,Draft
646240,Rafael Devers,BOS,Andrew,1,Draft
408234,Miguel Cabrera,DET,Evans,20,Draft
608324,Alex Bregman,HOU,Paula,1,Draft
641432,Willie Calhoun,TEX,John,24,Draft
643217,Andrew Benintendi,KCR,Jeff,15,Draft
664034,Ty France,SEA,Rich,16,Draft
664058,David Fletcher,LAA,Myron,10,Draft
664238,Dylan Moore,SEA,Paula,14,Draft
663656,Kyle Tucker,HOU,Rich,3,Draft
663624,Ryan Mountcastle,BAL,Scott,9,Draft
665120,Jared Walsh,LAA,Evans,14,Draft
664040,Brandon Lowe,TBR,Rich,6,Draft
665750,Leody Taveras,TEX,Scott,20,Draft
493329,Yuli Gurriel,HOU,Jeff,5,Draft
