MLBID,Name,Team,Mgr,Rd,Acquired
501985,Mike Minor,KCR,Rich,15,Draft
502043,Kyle Gibson,TEX,Myron,17,Draft
547973,Aroldis Chapman,NYY,Evans,11,Draft
572096,Trevor Rosenthal,OAK,Myron,15,Draft
592314,Mike Foltynewicz,TEX,Evans,25,Draft
500779,Jose Quintana,LAA,Andrew,17,Draft
592662,Robbie Ray,TOR,Evans,16,Draft
592791,Jameson Taillon,NYY,Evans,9,Draft
572020,James Paxton,SEA,Myron,11,Draft
605359,Evan Marshall,CHW,Paula,28,Draft
605135,Chris Bassitt,OAK,Paula,4,Draft
606160,Rafael Montero,SEA,Jeff,21,Draft
605164,Dylan Bundy,LAA,Rich,12,Draft
543037,Gerrit Cole,NYY,Evans,1,Draft
593958,Eduardo Rodriguez,BOS,Jeff,16,Draft
571927,Steven Matz,TOR,Evans,18,Draft
573124,Taylor Rogers,MIN,Rich,20,Draft
608648,Tyler Duffey,MIN,John,21,Draft
623167,Chris Flexen,SEA,Andrew,26,Draft
608379,Michael Wacha,TBR,Paula,24,Draft
621121,Lance McCullers Jr.,HOU,Rich,8,Draft
621244,Jose Berrios,MIN,Rich,1,Draft
593423,Frankie Montas,OAK,John,12,Draft
607192,Tyler Glasnow,TBR,Paula,2,Draft
547943,Hyun-Jin Ryu,TOR,Andrew,2,Draft
605525,J.B. Wendelken,OAK,Paula,16,Draft
571760,Andrew Heaney,LAA,Andrew,7,Draft
571510,Matthew Boyd,DET,Myron,16,Draft
594835,Marco Gonzales,SEA,Scott,6,Draft
608337,Lucas Giolito,CHW,Scott,1,Draft
621295,Nick Wittgren,CLE,Rich,28,Draft
641745,Brad Keller,KCR,John,4,Draft
640455,Sean Manaea,OAK,Andrew,10,Draft
622663,Luis Severino,NYY,Evans,17,Draft
605447,Jordan Romano,TOR,Rich,22,Draft
605513,Spencer Turnbull,DET,Rich,24,Draft
607481,Aaron Bummer,CHW,Paula,21,Draft
607644,John Means,BAL,Myron,12,Draft
642232,Ryan Yarbrough,TBR,Paula,13,Draft
656756,Jordan Montgomery,NYY,Myron,13,Draft
628452,Raisel Iglesias,LAA,Myron,14,Draft
593334,Domingo German,NYY,Paula,11,Draft
656629,Michael Kopech,CHW,Evans,26,Draft
656954,Justus Sheffield,SEA,Scott,12,Draft
650895,Diego Castillo,TBR,Jeff,14,Draft
656945,Tanner Scott,BAL,Andrew,27,Draft
664299,Cristian Javier,HOU,Scott,17,Draft
664126,Peter Fairbanks,TBR,Rich,26,Draft
663474,Triston McKenzie,CLE,John,17,Draft
622251,Josh Staumont,KCR,John,25,Draft
642545,Jaime Barria,LAA,Scott,27,Draft
664353,Jose Urquidy,HOU,John,11,Draft
628317,Kenta Maeda,MIN,Myron,2,Draft
656302,Dylan Cease,CHW,Myron,21,Draft
615698,Cal Quantrill,CLE,Jeff,24,Draft
641540,Dane Dunning,TEX,Scott,28,Draft
669456,Shane Bieber,CLE,Jeff,1,Draft
425844,Zack Greinke,HOU,Jeff,3,Draft
660896,Jorge Alcala,MIN,Scott,18,Draft
650644,Aaron Civale,CLE,Evans,12,Draft
642528,Jonathan Loaisiga,NYY,Scott,22,Draft
660271,Shohei Ohtani,LAA,Scott,11,Draft
656288,Griffin Canning,LAA,Jeff,23,Draft
666200,Jesus Luzardo,OAK,Rich,4,Draft
668676,Zach Plesac,CLE,Scott,3,Draft
675916,James Karinchak,CLE,Paula,7,Draft
663878,Nate Pearson,TOR,Evans,24,Draft
676596,Josh Fleming,TBR,Scott,19,Draft
579328,Yusei Kikuchi,SEA,Rich,17,Draft
661403,Emmanuel Clase,CLE,Andrew,29,Draft
669373,Tarik Skubal,DET,Myron,23,Draft
446372,Corey Kluber,NYY,Evans,6,Draft
458681,Lance Lynn,CHW,Andrew,3,Draft
663903,Brady Singer,KCR,Jeff,12,Draft
676979,Garrett Crochet,CHW,Andrew,22,Draft
521230,Liam Hendriks,CHW,Scott,7,Draft
533167,Matt Shoemaker,MIN,Myron,22,Draft
448179,Rich Hill,TBR,John,23,Draft
518617,Jake Diekman,OAK,Andrew,25,Draft
501381,Michael Pineda,MIN,Jeff,11,Draft
502042,Chris Archer,TBR,Andrew,20,Draft
543606,Jake Odorizzi,HOU,Paula,12,Draft
502171,Alex Cobb,LAA,Andrew,28,Draft
517008,Alex Colome,MIN,Jeff,17,Draft
527054,Julio Teheran,DET,Rich,27,Draft
519151,Ryan Pressly,HOU,Paula,15,Draft
518813,Greg Holland,KCR,Paula,25,Draft
457918,J.A. Happ,MIN,Andrew,23,Draft
543475,Jordan Lyles,TEX,Jeff,26,Draft
571666,Mike Fiers,OAK,John,27,Draft
543699,Tanner Roark,TOR,Paula,28,Draft
543135,Nathan Eovaldi,BOS,John,16,Draft
572971,Dallas Keuchel,CHW,John,2,Draft
572070,Garrett Richards,BOS,John,19,Draft
685503,Kohei Arihara,TEX,Scott,24,Draft
